Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-01000,2020-05-05,2020-05-10,Same Day,CU-7456,Corporate,West,P-80745,Furniture,Tables,Chromcraft Table,4390.68,3,0.0,-371.71
CA-01001,2020-09-23,2020-09-30,Second Class,CU-5053,Corporate,West,P-30451,Office Supplies,Art,Dixon Ticonderoga,10868.26,11,0.2,2210.34
CA-01002,2021-02-08,2021-02-13,Same Day,CU-5010,Home Office,East,P-90380,Furniture,Furnishings,Tensor Lamp,1123.54,3,0.3,181.03
CA-01003,2021-12-27,2021-12-28,Second Class,CU-4299,Corporate,East,P-97074,Technology,Phones,Motorola Moto,8209.28,8,0.0,2215.81
CA-01004,2023-03-07,2023-03-09,Second Class,CU-6079,Consumer,West,P-70282,Office Supplies,Binders,Ibico Binders,5013.26,7,0.0,-245.34
CA-01005,2020-05-21,2020-05-24,First Class,CU-9081,Corporate,South,P-35949,Technology,Copiers,HP LaserJet Copier,9302.52,11,0.3,1947.34
CA-01006,2023-03-21,2023-03-22,Standard Class,CU-3493,Home Office,East,P-80264,Furniture,Furnishings,Advantus Panel,8391.18,12,0.3,227.76
CA-01007,2020-12-24,2020-12-25,Standard Class,CU-1712,Consumer,Central,P-78849,Office Supplies,Fasteners,OIC Push Pins,3972.02,7,0.2,606.47
CA-01008,2023-03-06,2023-03-09,First Class,CU-3488,Consumer,Central,P-46767,Office Supplies,Labels,Mead File Folders Labels,5921.01,9,0.0,1632.66
CA-01009,2023-06-03,2023-06-05,Standard Class,CU-5544,Home Office,East,P-80550,Technology,Phones,Apple iPhone,12929.41,13,0.0,1164.84
CA-01010,2021-04-13,2021-04-15,Same Day,CU-7270,Corporate,West,P-51568,Technology,Machines,Cisco TelePresence,698.1,5,0.0,-55.56
CA-01011,2021-12-27,2022-01-01,Standard Class,CU-7152,Home Office,Central,P-66724,Technology,Accessories,Plantronics Headset,3620.17,7,0.1,451.08
